Время начала работы программы: 04.08.2020 15:30:14

Количество устройств на шине: 1
Связь с модулем МВ26.20 установлена
Старт обмена МКИО. Номер калана: А Адрес ОУ: 1
КШ Ф2 ПА: 1
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОС: 0800 СД: 2426 40a4 0906 1a80 1702 22a9 0964 ea8a 6d00 1c08 23e2 
Ошибка CRC16. Рассчитанная CRC16: a7a8
ОС: 0800 СД: 0000 1fc1 0000 0000 0000 ff00 ff00 ff00 ff00 ff00 790d 
Соединение с ОУ установлено
ОС: 0800 СД: 0001 1ff8 031c 0400 0600 ff00 ff00 ff00 ff00 ff00 eca3 
ОС: 0800 СД: 0003 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 bde6 
ОС: 0800 СД: 0004 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c953 
ОС: 0800 СД: 0006 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 712a 
ОС: 0800 СД: 0007 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8d17 
ОС: 0800 СД: 0008 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9840 
ОС: 0800 СД: 000a 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2039 
ОС: 0800 СД: 000b 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 dc04 
ОС: 0800 СД: 000d 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 548c 
ОС: 0800 СД: 000e 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 10c8 
ОС: 0800 СД: 0010 1fd8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3a66 
ОС: 0800 СД: 0011 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 72cb 
ОС: 0800 СД: 0012 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 368f 
ОС: 0800 СД: 0014 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 be07 
ОС: 0800 СД: 0015 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 423a 
ОС: 0800 СД: 0017 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 fa43 
ОС: 0800 СД: 0018 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ef14 
КШ Ф1 ПА: 1 СД: 0000 0002 0000 0000 0000 c753 
КШ Ф2 ПА: 1
ОС: 0800 СД: 001b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3b01 
ОС: 0800 СД: 001c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4fb4 
ОС: 0800 СД: 001e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f7cd 
ОС: 0800 СД: 001f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0bf0 
ОС: 0800 СД: 0020 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1ae8 
ОС: 0800 СД: 0022 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a291 
ОС: 0800 СД: 0023 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5eac 
ОС: 0800 СД: 0025 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d624 
ОС: 0800 СД: 0026 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9260 
ОС: 0800 СД: 0028 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7b0a 
ОС: 0800 СД: 0029 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8737 
ОС: 0800 СД: 002a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c373 
ОС: 0800 СД: 002c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4bfb 
ОС: 0800 СД: 002d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b7c6 
ОС: 0800 СД: 002f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0fbf 
ОС: 0800 СД: 0030 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d92c 
ОС: 0800 СД: 0032 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6155 
ОС: 0800 СД: 0033 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9d68 
ОС: 0800 СД: 0034 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e9dd 
КШ Ф1 ПА: 1 СД: 0001 0000 0000 0000 0000 977d 
КШ Ф2 ПА: 1
ОС: 0800 СД: 0037 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3dc8 
ОС: 0800 СД: 0038 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 289f 
ОС: 0800 СД: 003a 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 90e6 
ОС: 0800 СД: 003b 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6cdb 
ОС: 0800 СД: 003d 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e453 
ОС: 0800 СД: 003e 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a017 
ОС: 0800 СД: 0040 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8227 
ОС: 0800 СД: 0041 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7e1a 
ОС: 0800 СД: 0042 1f9a 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3a5e 
